Log file created at: 2019/04/27 10:28:27
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:28:27.485291  2097 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
W0427 10:28:33.297274  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586987, 4.14124e+06, 0), heading = -0.119844
W0427 10:28:33.297281  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586987, 4.14124e+06, 0), heading = -0.129485
W0427 10:28:33.297287  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.138762
W0427 10:28:33.297293  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.147682
W0427 10:28:33.297302  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586988, 4.14124e+06, 0), heading = -0.156249
W0427 10:28:33.297309  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586989, 4.14124e+06, 0), heading = -0.16447
W0427 10:28:33.297317  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586989, 4.14124e+06, 0), heading = -0.172352
W0427 10:28:33.297324  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586990, 4.14124e+06, 0), heading = -0.179902
W0427 10:28:33.297333  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586990, 4.14123e+06, 0), heading = -0.187126
W0427 10:28:33.297340  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586991, 4.14123e+06, 0), heading = -0.194031
W0427 10:28:33.297348  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586991, 4.14123e+06, 0), heading = -0.200625
W0427 10:28:33.297354  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586992, 4.14123e+06, 0), heading = -0.206914
W0427 10:28:33.297363  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586992, 4.14123e+06, 0), heading = -0.212906
W0427 10:28:33.297369  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586993, 4.14123e+06, 0), heading = -0.218607
W0427 10:28:33.297377  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586993, 4.14123e+06, 0), heading = -0.224026
W0427 10:28:33.297384  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586994, 4.14123e+06, 0), heading = -0.22917
W0427 10:28:33.297391  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586994, 4.14123e+06, 0), heading = -0.234047
W0427 10:28:33.297399  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586995, 4.14123e+06, 0), heading = -0.238663
W0427 10:28:33.297408  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586995, 4.14123e+06, 0), heading = -0.243026
W0427 10:28:33.297418  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586996, 4.14123e+06, 0), heading = -0.247146
W0427 10:28:33.297426  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586996, 4.14123e+06, 0), heading = -0.251028
W0427 10:28:33.297433  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586997, 4.14123e+06, 0), heading = -0.254681
