Log file created at: 2019/04/27 10:23:36
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:23:36.981840  1762 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:23:42.235152  1764 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.235353  1764 planning_component.cc:136]  Input check failed
E0427 10:23:42.243976  1768 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.294172  1765 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.335165  1767 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.335345  1767 planning_component.cc:136]  Input check failed
E0427 10:23:42.344364  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.394546  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.435066  1764 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.435250  1764 planning_component.cc:136]  Input check failed
E0427 10:23:42.444749  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.494863  1764 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.535132  1769 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.535285  1769 planning_component.cc:136]  Input check failed
E0427 10:23:42.545053  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.595206  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.635306  1774 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.635464  1774 planning_component.cc:136]  Input check failed
E0427 10:23:42.645331  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.695505  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.735064  1775 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.735220  1775 planning_component.cc:136]  Input check failed
E0427 10:23:42.745743  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.795992  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.835386  1767 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.835577  1767 planning_component.cc:136]  Input check failed
E0427 10:23:42.846171  1770 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.896317  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.935132  1769 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.935298  1769 planning_component.cc:136]  Input check failed
E0427 10:23:42.946501  1766 reference_line_provider.cc:193]  Routing is not ready.
